"winner","avg_rating","rating_category","white_bishop_rem","white_knight_rem","white_pawn_rem","white_queen_rem","white_rook_rem","black_bishop_rem","black_knight_rem","black_pawn_rem","black_queen_rem","black_rook_rem"
"black",1127,"Novice","2","2","6","1","2","2","2","5","0","2"
"white",909.5,"Novice","0","0","5","0","2","1","0","5","0","2"
"black",1016,"Novice","1","2","5","1","2","1","2","6","0","2"
"white",904.5,"Novice","1","0","5","1","2","1","1","5","1","2"
"white",912,"Novice","1","0","2","0","0","0","2","3","0","1"
"black",985.5,"Novice","1","0","5","0","2","1","0","4","0","0"
"white",1563.5,"ClassC","0","0","1","0","0","2","0","2","0","0"
"white",1552,"ClassC","0","1","4","1","1","1","0","4","1","1"
"white",1548,"ClassC","1","0","6","0","0","1","1","5","0","0"
"white",1584.5,"ClassC","0","0","0","0","1","0","0","2","0","1"
"black",1552.5,"ClassC","0","0","3","1","1","0","0","4","1","1"
"white",1513.5,"ClassC","0","0","4","0","2","0","0","6","0","1"
"white",1586,"ClassC","2","0","7","1","1","1","0","5","1","2"
"white",1570.5,"ClassC","1","0","4","0","1","0","1","5","0","2"
"black",1550,"ClassC","0","0","6","1","1","0","1","3","0","1"
"white",1538,"ClassC","2","2","7","0","2","2","1","5","1","2"
"white",1556.5,"ClassC","1","1","5","1","2","0","1","6","1","2"
"white",1571,"ClassC","1","0","3","1","0","0","1","4","0","1"
"white",1570.5,"ClassC","0","0","1","0","0","0","0","3","0","0"
"white",1524.5,"ClassC","2","1","3","0","2","1","2","5","0","2"
"black",1551.5,"ClassC","0","1","6","1","1","0","1","7","0","2"
"black",1538.5,"ClassC","0","0","5","0","1","0","0","1","0","1"
"black",1527,"ClassC","0","0","4","0","1","0","0","6","0","0"
"black",1540,"ClassC","1","1","6","1","2","1","1","6","1","2"
"black",1551.5,"ClassC","2","1","7","1","2","2","1","7","0","2"
"white",1577,"ClassC","1","0","2","0","0","1","0","1","0","0"
"black",1615.5,"ClassB","1","0","4","1","2","2","0","3","1","1"
"draw",1554.5,"ClassC","0","0","0","0","0","0","1","1","0","1"
"black",1550.5,"ClassC","0","0","6","0","1","0","0","5","0","0"
"black",1568.5,"ClassC","1","1","3","0","0","0","1","3","0","0"
"white",1561.5,"ClassC","1","0","4","0","2","0","0","4","1","2"
"black",1550,"ClassC","0","0","3","0","0","0","0","1","0","0"
"draw",1550.5,"ClassC","0","0","1","0","0","0","1","0","0","0"
"white",1542.5,"ClassC","0","0","3","0","0","1","0","5","0","0"
"white",1545.5,"ClassC","1","1","5","1","1","1","0","7","1","1"
"black",1534.5,"ClassC","2","1","5","1","0","1","1","6","0","2"
"white",1545.5,"ClassC","0","1","5","0","2","1","1","4","1","1"
"black",1581,"ClassC","0","1","3","0","1","1","0","3","0","1"
"black",1524,"ClassC","1","2","7","1","2","1","2","6","1","2"
"black",1559,"ClassC","2","0","6","1","1","1","1","2","1","1"
"black",1557.5,"ClassC","0","0","4","0","1","0","0","3","0","1"
"black",1539.5,"ClassC","0","0","0","0","1","0","0","0","0","0"
"black",1513,"ClassC","0","0","4","0","0","0","0","0","0","0"
"black",975,"Novice","0","0","1","0","0","0","0","0","0","0"
"black",980,"Novice","0","1","4","0","1","0","0","0","0","0"
"white",1006,"Novice","2","0","5","1","2","2","0","4","0","1"
"white",998,"Novice","2","0","5","1","2","2","0","6","1","1"
"white",1012.5,"Novice","1","0","4","1","2","0","0","4","1","2"
"black",1000.5,"Novice","2","1","7","1","2","2","1","6","0","2"
"black",836.5,"Rookie","0","0","7","1","1","0","0","0","0","0"
"black",1079.5,"Novice","1","1","5","1","2","0","1","6","1","2"
"white",1099.5,"Novice","0","0","5","0","0","0","0","4","1","0"
"white",960,"Novice","0","0","0","0","0","0","0","2","0","1"
"black",1398.5,"ClassD","2","0","7","1","2","1","0","7","0","2"
"white",1060,"Novice","0","0","0","0","1","1","1","1","0","0"
